vendor,name,old,new,bump,old_path,new_path,gus_old_sub_new,gus_old_sub_new_rules,gus_new_sub_old,gus_new_sub_old_rules,error
com.amazon.aws.cloudfront,wd_access_log,1-0-0,1-0-1,ADDITION,schemas/com.amazon.aws.cloudfront/wd_access_log/jsonschema/1-0-0,schemas/com.amazon.aws.cloudfront/wd_access_log/jsonschema/1-0-1,true,,false,REQ.4,
com.amazon.aws.cloudfront,wd_access_log,1-0-1,1-0-2,ADDITION,schemas/com.amazon.aws.cloudfront/wd_access_log/jsonschema/1-0-1,schemas/com.amazon.aws.cloudfront/wd_access_log/jsonschema/1-0-2,true,,false,REQ.4,
com.amazon.aws.cloudfront,wd_access_log,1-0-2,1-0-3,ADDITION,schemas/com.amazon.aws.cloudfront/wd_access_log/jsonschema/1-0-2,schemas/com.amazon.aws.cloudfront/wd_access_log/jsonschema/1-0-3,true,,false,REQ.4,
com.amazon.aws.cloudfront,wd_access_log,1-0-3,1-0-4,ADDITION,schemas/com.amazon.aws.cloudfront/wd_access_log/jsonschema/1-0-3,schemas/com.amazon.aws.cloudfront/wd_access_log/jsonschema/1-0-4,true,,false,REQ.4,
com.amazon.aws.cloudfront,wd_access_log,1-0-4,1-0-5,ADDITION,schemas/com.amazon.aws.cloudfront/wd_access_log/jsonschema/1-0-4,schemas/com.amazon.aws.cloudfront/wd_access_log/jsonschema/1-0-5,true,,false,REQ.4,
com.amazon.aws.cloudfront,wd_access_log,1-0-5,1-0-6,ADDITION,schemas/com.amazon.aws.cloudfront/wd_access_log/jsonschema/1-0-5,schemas/com.amazon.aws.cloudfront/wd_access_log/jsonschema/1-0-6,true,,false,REQ.4,
com.apple,notification_event,1-0-0,1-0-1,ADDITION,schemas/com.apple/notification_event/jsonschema/1-0-0,schemas/com.apple/notification_event/jsonschema/1-0-1,,,,,"property ""notification"": property ""userInfo"": property ""aps"": property ""alert"": object mixing named properties with an additionalProperties schema is not supported"
com.callrail,call_complete,1-0-0,1-0-1,ADDITION,schemas/com.callrail/call_complete/jsonschema/1-0-0,schemas/com.callrail/call_complete/jsonschema/1-0-1,true,,false,REQ.4,
com.callrail,call_complete,1-0-1,1-0-2,ADDITION,schemas/com.callrail/call_complete/jsonschema/1-0-1,schemas/com.callrail/call_complete/jsonschema/1-0-2,true,,false,REQ.4,
com.iterable,system_webhook,1-0-0,1-0-1,ADDITION,schemas/com.iterable/system_webhook/jsonschema/1-0-0,schemas/com.iterable/system_webhook/jsonschema/1-0-1,true,,true,,
com.iterable,system_webhook,1-0-1,2-0-0,MODEL,schemas/com.iterable/system_webhook/jsonschema/1-0-1,schemas/com.iterable/system_webhook/jsonschema/2-0-0,true,,false,REQ.2|nullable-request-narrowing,
com.iterable,system_webhook,2-0-0,2-0-1,ADDITION,schemas/com.iterable/system_webhook/jsonschema/2-0-0,schemas/com.iterable/system_webhook/jsonschema/2-0-1,true,,true,,
com.mandrill,message_bounced,1-0-0,1-0-1,ADDITION,schemas/com.mandrill/message_bounced/jsonschema/1-0-0,schemas/com.mandrill/message_bounced/jsonschema/1-0-1,true,,false,REQ.4,
com.mandrill,message_bounced,1-0-1,1-0-2,ADDITION,schemas/com.mandrill/message_bounced/jsonschema/1-0-1,schemas/com.mandrill/message_bounced/jsonschema/1-0-2,true,,true,,
