pair	from	to	change	edge	caller	provider	verb	provider_mpath	caller_mpath	provider_has_endpoint_at_other	caller_declares_at_other	reading
P07	1.30.6	1.31.0	added	echo-front50/4	echo	front50	GET	/pipelines/{}/name/{}	/pipelines/{}/name/{}	no	no	a new call to a new endpoint; the new caller against the old provider finds no endpoint (providers first)
P07	1.30.6	1.31.0	added	orca-front50/19	orca	front50	GET	/pipelines/triggeredBy/{}/{}	/pipelines/triggeredBy/{}/{}	no	no	a new call to a new endpoint; the new caller against the old provider finds no endpoint (providers first)
P11	1.31.3	1.32.0	added	gate-clouddriver/20	gate	clouddriver	GET	/artifacts/content-address/{}/{}	/artifacts/content-address/{}/{}	no	no	a new call to a new endpoint; the new caller against the old provider finds no endpoint (providers first)
P11	1.31.3	1.32.0	added	gate-echo/6	gate	echo	POST	/webhooks/cdevents/{}	/webhooks/cdevents/{}	no	no	a new call to a new endpoint; the new caller against the old provider finds no endpoint (providers first)
P15	1.32.3	1.32.4	added	echo-igor/3	echo	igor	GET	/builds/artifacts/{}/{}	/builds/artifacts/{}/{}	no	no	a new call to a new endpoint; the new caller against the old provider finds no endpoint (providers first)
P15	1.32.3	1.32.4	added	echo-igor/5	echo	igor	GET	/builds/properties/{}/{}/{}	/builds/properties/{}/{}/{}	no	no	a new call to a new endpoint; the new caller against the old provider finds no endpoint (providers first)
P15	1.32.3	1.32.4	added	echo-igor/7	echo	igor	GET	/builds/status/{}/{}	/builds/status/{}/{}	no	no	a new call to a new endpoint; the new caller against the old provider finds no endpoint (providers first)
P15	1.32.3	1.32.4	added	orca-igor/2	orca	igor	GET	/builds/artifacts/{}/{}	/builds/artifacts/{}/{}	no	no	a new call to a new endpoint; the new caller against the old provider finds no endpoint (providers first)
P15	1.32.3	1.32.4	added	orca-igor/4	orca	igor	GET	/builds/properties/{}/{}/{}	/builds/properties/{}/{}/{}	no	no	a new call to a new endpoint; the new caller against the old provider finds no endpoint (providers first)
P15	1.32.3	1.32.4	added	orca-igor/7	orca	igor	GET	/builds/status/{}/{}	/builds/status/{}/{}	no	no	a new call to a new endpoint; the new caller against the old provider finds no endpoint (providers first)
