name	caller	provider	verb	provider_mpath	boms	first	last	membership	spellings	how	caller_opaque	collision_boms
clouddriver-front50/1	clouddriver	front50	POST	/snapshots	50	1.30.0	1.38.0	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	/snapshots @1.30.0..1.38.0	exact	oooooooooooooooooooooooooooooooooooooooooooooooooo	
clouddriver-front50/2	clouddriver	front50	GET	/snapshots/{}/{}	50	1.30.0	1.38.0	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	/snapshots/{id}/{timestamp} @1.30.0..1.38.0	exact	tttttttttttttttttttttttttttttttttttttttttttttttttt	
clouddriver-front50/3	clouddriver	front50	GET	/v2/applications	50	1.30.0	1.38.0	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	/v2/applications @1.30.0..1.38.0	exact	tttttttttttttttttttttttttttttttttttttttttttttttttt	
clouddriver-front50/4	clouddriver	front50	GET	/v2/applications/{}	50	1.30.0	1.38.0	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	/v2/applications/{applicationName} @1.30.0..1.38.0	exact	tttttttttttttttttttttttttttttttttttttttttttttttttt	
clouddriver-front50/5	clouddriver	front50	GET	/v2/pipelineTemplates	50	1.30.0	1.38.0	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	/v2/pipelineTemplates @1.30.0..1.38.0	exact	tttttttttttttttttttttttttttttttttttttttttttttttttt	
clouddriver-front50/6	clouddriver	front50	GET	/v2/pipelineTemplates/{}	50	1.30.0	1.38.0	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	/v2/pipelineTemplates/{id} @1.30.0..1.38.0	exact	tttttttttttttttttttttttttttttttttttttttttttttttttt	
clouddriver-front50/7	clouddriver	front50	GET	/v2/projects	50	1.30.0	1.38.0	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	/v2/projects @1.30.0..1.38.0	exact	tttttttttttttttttttttttttttttttttttttttttttttttttt	
clouddriver-front50/8	clouddriver	front50	GET	/v2/projects/{}	50	1.30.0	1.38.0	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	/v2/projects/{projectId} @1.30.0..1.38.0	exact	tttttttttttttttttttttttttttttttttttttttttttttttttt	
clouddriver-front50/9	clouddriver	front50	GET	/v2/tags	50	1.30.0	1.38.0	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	/v2/tags @1.30.0..1.38.0	exact	tttttttttttttttttttttttttttttttttttttttttttttttttt	
clouddriver-front50/10	clouddriver	front50	POST	/v2/tags	50	1.30.0	1.38.0	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	/v2/tags @1.30.0..1.38.0	exact	tttttttttttttttttttttttttttttttttttttttttttttttttt	
clouddriver-front50/11	clouddriver	front50	DELETE	/v2/tags/**	50	1.30.0	1.38.0	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	/v2/tags/** @1.30.0..1.38.0	template	oooooooooooooooooooooooooooooooooooooooooooooooooo	
clouddriver-front50/12	clouddriver	front50	GET	/v2/tags/**	50	1.30.0	1.38.0	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	/v2/tags/** @1.30.0..1.38.0	template	tttttttttttttttttttttttttttttttttttttttttttttttttt	
clouddriver-front50/13	clouddriver	front50	POST	/v2/tags/batchUpdate	50	1.30.0	1.38.0	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	/v2/tags/batchUpdate @1.30.0..1.38.0	exact	tttttttttttttttttttttttttttttttttttttttttttttttttt	
echo-front50/1	echo	front50	GET	/pipelines	50	1.30.0	1.38.0	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	/pipelines @1.30.0..1.38.0	exact	tttttttttttttttttttttttttttttttttttttttttttttttttt	
echo-front50/2	echo	front50	GET	/pipelines/{}	50	1.30.0	1.38.0	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	/pipelines/{application} @1.30.0..1.38.0	exact	tttttttttttttttttttttttttttttttttttttttttttttttttt	
echo-front50/3	echo	front50	GET	/pipelines/{}/get	50	1.30.0	1.38.0	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	/pipelines/{id}/get @1.30.0..1.38.0	exact	tttttttttttttttttttttttttttttttttttttttttttttttttt	
echo-front50/4	echo	front50	GET	/pipelines/{}/name/{}	43	1.31.0	1.38.0	.......xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	/pipelines/{application}/name/{name} @1.31.0..1.38.0	exact	.......ttttttttttttttttttttttttttttttttttttttttttt	
echo-igor/1	echo	igor	GET	/artifacts/{}/{}	50	1.30.0	1.38.0	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	/artifacts/{provider}/{name} @1.30.0..1.38.0	exact	tttttttttttttttttttttttttttttttttttttttttttttttttt	
echo-igor/2	echo	igor	GET	/artifacts/{}/{}/{}	50	1.30.0	1.38.0	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	/artifacts/{provider}/{name}/{version} @1.30.0..1.38.0	exact	tttttttttttttttttttttttttttttttttttttttttttttttttt	
echo-igor/3	echo	igor	GET	/builds/artifacts/{}/{}	34	1.32.4	1.38.0	...............x.xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	/builds/artifacts/{buildNumber}/{master} @1.32.4..1.38.0	exact	...............t.ttttttttttttttttttttttttttttttttt	
echo-igor/4	echo	igor	GET	/builds/artifacts/{}/{}/**	50	1.30.0	1.38.0	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	/builds/artifacts/{buildNumber}/{master}/** @1.30.0..1.38.0	template	tttttttttttttttttttttttttttttttttttttttttttttttttt	
echo-igor/5	echo	igor	GET	/builds/properties/{}/{}/{}	34	1.32.4	1.38.0	...............x.xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	/builds/properties/{buildNumber}/{fileName}/{master} @1.32.4..1.38.0	exact	...............t.ttttttttttttttttttttttttttttttttt	
echo-igor/6	echo	igor	GET	/builds/properties/{}/{}/{}/**	50	1.30.0	1.38.0	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	/builds/properties/{buildNumber}/{fileName}/{master}/** @1.30.0..1.38.0	template	tttttttttttttttttttttttttttttttttttttttttttttttttt	
echo-igor/7	echo	igor	GET	/builds/status/{}/{}	34	1.32.4	1.38.0	...............x.xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	/builds/status/{buildNumber}/{master} @1.32.4..1.38.0	exact	...............t.ttttttttttttttttttttttttttttttttt	
echo-igor/8	echo	igor	GET	/builds/status/{}/{}/**	50	1.30.0	1.38.0	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	/builds/status/{buildNumber}/{master}/** @1.30.0..1.38.0	template	tttttttttttttttttttttttttttttttttttttttttttttttttt	
echo-igor/9	echo	igor	PUT	/gcb/artifacts/extract/{}	50	1.30.0	1.38.0	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	/gcb/artifacts/extract/{account} @1.30.0..1.38.0	exact	tttttttttttttttttttttttttttttttttttttttttttttttttt	
echo-igor/10	echo	igor	PUT	/gcb/builds/{}/{}	50	1.30.0	1.38.0	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	/gcb/builds/{account}/{buildId} @1.30.0..1.38.0	exact	oooooooooooooooooooooooooooooooooooooooooooooooooo	
echo-orca/1	echo	orca	POST	/fail	50	1.30.0	1.38.0	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	/fail @1.30.0..1.38.0	exact	oooooooooooooooooooooooooooooooooooooooooooooooooo	
echo-orca/2	echo	orca	POST	/orchestrate	50	1.30.0	1.38.0	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	/orchestrate @1.30.0..1.38.0	exact	tttttttttttttttttttttttttttttttttttttttttttttttttt	
echo-orca/3	echo	orca	GET	/pipelines	50	1.30.0	1.38.0	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	/pipelines @1.30.0..1.38.0	exact	tttttttttttttttttttttttttttttttttttttttttttttttttt	
echo-orca/4	echo	orca	POST	/plan	50	1.30.0	1.38.0	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	/plan @1.30.0..1.38.0	exact	tttttttttttttttttttttttttttttttttttttttttttttttttt	
echo-orca/5	echo	orca	POST	/v2/pipelineTemplates/plan	50	1.30.0	1.38.0	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	/v2/pipelineTemplates/plan @1.30.0..1.38.0	exact	tttttttttttttttttttttttttttttttttttttttttttttttttt	
fiat-clouddriver/1	fiat	clouddriver	GET	/applications	50	1.30.0	1.38.0	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	/applications @1.30.0..1.38.0	exact	tttttttttttttttttttttttttttttttttttttttttttttttttt	
