bom	caller	provider	verb	caller_path	mpath	category	interface	note
1.30.0	gate	clouddriver	GET	/_calls/clouddriver/health	/health	actuator	com.netflix.spinnaker.gate.services.internal.HealthCheckableService	
1.30.0	gate	clouddriver	GET	/_calls/clouddriver/installedPlugins	/installedPlugins	actuator	com.netflix.spinnaker.gate.services.internal.ClouddriverService	
1.30.0	gate	echo	GET	/_calls/echo/health	/health	actuator	com.netflix.spinnaker.gate.services.internal.HealthCheckableService	
1.30.0	gate	echo	GET	/_calls/echo/installedPlugins	/installedPlugins	actuator	com.netflix.spinnaker.gate.services.internal.EchoService	
1.30.0	gate	fiat	GET	/_calls/fiat/installedPlugins	/installedPlugins	actuator	com.netflix.spinnaker.gate.services.internal.ExtendedFiatService	
1.30.0	gate	front50	GET	/_calls/front50/health	/health	actuator	com.netflix.spinnaker.gate.services.internal.HealthCheckableService	
1.30.0	gate	front50	GET	/_calls/front50/installedPlugins	/installedPlugins	actuator	com.netflix.spinnaker.gate.services.internal.Front50Service	
1.30.0	gate	igor	GET	/_calls/igor/health	/health	actuator	com.netflix.spinnaker.gate.services.internal.HealthCheckableService	
1.30.0	gate	igor	GET	/_calls/igor/installedPlugins	/installedPlugins	actuator	com.netflix.spinnaker.gate.services.internal.IgorService	
1.30.0	gate	orca	GET	/_calls/orca/health	/health	actuator	com.netflix.spinnaker.gate.services.internal.HealthCheckableService	
1.30.0	gate	orca	GET	/_calls/orca/installedPlugins	/installedPlugins	actuator	com.netflix.spinnaker.gate.services.internal.OrcaService	
1.30.0	gate	rosco	GET	/_calls/rosco/installedPlugins	/installedPlugins	actuator	com.netflix.spinnaker.gate.services.internal.RoscoService	
1.30.0	orca	clouddriver	PUT	/_calls/clouddriver/admin/db/truncate/{namespace}	/admin/db/truncate/{}	framework	com.netflix.spinnaker.orca.clouddriver.CloudDriverCacheService	excluded by provenance: PUT /admin/db/truncate/{}
1.30.0	clouddriver	fiat	DELETE	/_calls/fiat/roles/{userId}	/roles/{}	indirect-fiat	com.netflix.spinnaker.fiat.shared.FiatService	dropped family (owner ruling 2026-09-12)
