caller	provider	method	path_template	interface	method_name	body_type	return_type	resolved_by	claim
gate	clouddriver	GET	/credentials	ClouddriverService	getAccounts	-	Call<List<Account>>	services.clouddriver.baseUrl (GateConfig.clouddriverService/clouddriverServiceSelector)	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:28
gate	clouddriver	GET	/credentials?expand=true	ClouddriverService	getAccountDetails	-	Call<List<AccountDetails>>	services.clouddriver.baseUrl (GateConfig.clouddriverService/clouddriverServiceSelector)	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:31
gate	clouddriver	GET	/credentials/{account}	ClouddriverService	getAccount	-	Call<AccountDetails>	services.clouddriver.baseUrl (GateConfig.clouddriverService/clouddriverServiceSelector)	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:34
gate	clouddriver	GET	/credentials/type/{type}	ClouddriverService	getAccountDefinitionsByType	-	Call<List<AccountDefinition>>	services.clouddriver.baseUrl (GateConfig.clouddriverService/clouddriverServiceSelector)	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:37
gate	clouddriver	POST	/credentials	ClouddriverService	createAccountDefinition	AccountDefinition	Call<AccountDefinition>	services.clouddriver.baseUrl (GateConfig.clouddriverService/clouddriverServiceSelector)	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:43
gate	clouddriver	PUT	/credentials	ClouddriverService	updateAccountDefinition	AccountDefinition	Call<AccountDefinition>	services.clouddriver.baseUrl (GateConfig.clouddriverService/clouddriverServiceSelector)	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:46
gate	clouddriver	DELETE	/credentials/{account}	ClouddriverService	deleteAccountDefinition	-	Call<ResponseBody>	services.clouddriver.baseUrl (GateConfig.clouddriverService/clouddriverServiceSelector)	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:49
gate	clouddriver	GET	/task/{taskDetailsId}	ClouddriverService	getTaskDetails	-	Call<Map>	services.clouddriver.baseUrl (GateConfig.clouddriverService/clouddriverServiceSelector)	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:52
gate	clouddriver	GET	/applications	ClouddriverService	getApplications	-	Call<List>	services.clouddriver.baseUrl (GateConfig.clouddriverService/clouddriverServiceSelector)	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:56
gate	clouddriver	GET	/applications?restricted=false	ClouddriverService	getAllApplicationsUnrestricted	-	Call<List>	services.clouddriver.baseUrl (GateConfig.clouddriverService/clouddriverServiceSelector)	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:60
gate	clouddriver	GET	/applications/{name}	ClouddriverService	getApplication	-	Call<Map>	services.clouddriver.baseUrl (GateConfig.clouddriverService/clouddriverServiceSelector)	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:64
gate	clouddriver	GET	/applications/{name}/clusters	ClouddriverService	getClusters	-	Call<Map>	services.clouddriver.baseUrl (GateConfig.clouddriverService/clouddriverServiceSelector)	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:68
