caller	repo_path	provider	resolved_by
gate	gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java	clouddriver	services.clouddriver.baseUrl (GateConfig.clouddriverService/clouddriverServiceSelector)
gate	gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/EchoService.java	echo	services.echo.baseUrl (GateConfig.echoService)
gate	gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/Front50Service.java	front50	services.front50.baseUrl (GateConfig.front50Service)
gate	gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/IgorService.java	igor	services.igor.baseUrl (GateConfig.igorService)
gate	gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/KeelService.java	keel	services.keel.baseUrl (GateConfig.keelService)
gate	gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/OrcaService.java	orca	services.orca.baseUrl (GateConfig.orcaServiceSelector)
gate	gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/RoscoService.java	rosco	services.rosco.baseUrl (GateConfig.roscoService/roscoServiceSelector)
gate	gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ExtendedFiatService.java	fiat	services.fiat.baseUrl (GateConfig.extendedFiatService)
gate	gate-web/src/main/groovy/com/netflix/spinnaker/gate/services/internal/KayentaService.groovy	kayenta	services.kayenta.baseUrl (GateConfig.kayentaService)
gate	FIATAPI	fiat	services.fiat.baseUrl (GateConfig.fiatService, @Primary)
gate	HEALTH:orca	orca	services.orca.baseUrl (DownstreamServicesHealthIndicator + healthCheckableServices)
gate	HEALTH:clouddriver	clouddriver	services.clouddriver.baseUrl (DownstreamServicesHealthIndicator + healthCheckableServices)
gate	HEALTH:echo	echo	services.echo.baseUrl (DownstreamServicesHealthIndicator + healthCheckableServices)
gate	HEALTH:igor	igor	services.igor.baseUrl (DownstreamServicesHealthIndicator + healthCheckableServices)
gate	HEALTH:front50	front50	services.front50.baseUrl (DownstreamServicesHealthIndicator + healthCheckableServices)
gate	HEALTH:keel	keel	services.keel.baseUrl (DownstreamServicesHealthIndicator + healthCheckableServices)
gate	KORK	front50	spinnaker.extensibility.repositories.front50.url -> front50.base-url -> services.front50.base-url (kork Front50PluginsConfiguration.pluginFront50Service, @ConditionalOnProperty spinnaker.extensibility.repositories.front50.enabled)
orca	orca-clouddriver/src/main/java/com/netflix/spinnaker/orca/clouddriver/OortService.java	clouddriver	clouddriver.baseUrl (CloudDriverConfiguration.oortDeployService, buildReadOnlyService)
orca	orca-clouddriver/src/main/java/com/netflix/spinnaker/orca/clouddriver/MortService.java	clouddriver	clouddriver.baseUrl (CloudDriverConfiguration.mortDeployService, buildReadOnlyService)
orca	orca-clouddriver/src/main/java/com/netflix/spinnaker/orca/clouddriver/KatoRestService.java	clouddriver	clouddriver.baseUrl (CloudDriverConfiguration.katoDeployService, buildWriteableService)
orca	orca-clouddriver/src/main/java/com/netflix/spinnaker/orca/clouddriver/CloudDriverCacheService.java	clouddriver	clouddriver.baseUrl (CloudDriverConfiguration.clouddriverCacheService, buildWriteableService)
orca	orca-clouddriver/src/main/java/com/netflix/spinnaker/orca/clouddriver/CloudDriverCacheStatusService.java	clouddriver	clouddriver.baseUrl (CloudDriverConfiguration.cloudDriverCacheStatusService, buildReadOnlyService)
orca	orca-clouddriver/src/main/java/com/netflix/spinnaker/orca/clouddriver/CloudDriverTaskStatusService.java	clouddriver	clouddriver.baseUrl (CloudDriverConfiguration.cloudDriverTaskStatusService, buildReadOnlyService)
orca	orca-clouddriver/src/main/java/com/netflix/spinnaker/orca/clouddriver/FeaturesRestService.java	clouddriver	clouddriver.baseUrl (CloudDriverConfiguration.featuresRestService, buildWriteableService)
orca	orca-front50/src/main/groovy/com/netflix/spinnaker/orca/front50/Front50Service.groovy	front50	front50.baseUrl (Front50Configuration.front50Service)
orca	orca-echo/src/main/groovy/com/netflix/spinnaker/orca/echo/EchoService.groovy	echo	echo.base-url (EchoConfiguration.echoEndpoint)
orca	orca-igor/src/main/java/com/netflix/spinnaker/orca/igor/IgorService.java	igor	igor.base-url (IgorConfiguration.igorEndpoint)
orca	orca-keel/src/main/kotlin/com/netflix/spinnaker/orca/KeelService.kt	keel	services.keel.base-url (KeelConfiguration.keelEndpoint)
orca	orca-kayenta/src/main/kotlin/com/netflix/spinnaker/orca/kayenta/KayentaService.kt	kayenta	kayenta.base-url (KayentaConfiguration.kayentaEndpoint)
orca	orca-bakery/src/main/groovy/com/netflix/spinnaker/orca/bakery/api/BakeryService.groovy	rosco	bakery.base-url (BakeryConfiguration.bakery + BakerySelector)
orca	FIATAPI	fiat	services.fiat.baseUrl (fiat-api FiatAuthenticationConfig via @EnableFiatAutoConfig)
orca	KORK	front50	spinnaker.extensibility.repositories.front50.url -> front50.base-url -> services.front50.base-url (kork Front50PluginsConfiguration.pluginFront50Service, @ConditionalOnProperty spinnaker.extensibility.repositories.front50.enabled)
clouddriver	clouddriver-core/src/main/groovy/com/netflix/spinnaker/clouddriver/core/services/Front50Service.groovy	front50	services.front50.baseUrl (RetrofitConfig.front50Service)
clouddriver	FIATAPI	fiat	services.fiat.baseUrl (fiat-api FiatAuthenticationConfig via @EnableFiatAutoConfig)
clouddriver	KORK	front50	spinnaker.extensibility.repositories.front50.url -> front50.base-url -> services.front50.base-url (kork Front50PluginsConfiguration.pluginFront50Service, @ConditionalOnProperty spinnaker.extensibility.repositories.front50.enabled)
front50	front50-core/src/main/java/com/netflix/spinnaker/front50/echo/EchoService.java	echo	services.echo.base-url (EchoConfiguration.echoService)
front50	FIATAPI	fiat	services.fiat.baseUrl (fiat-api FiatAuthenticationConfig via @EnableFiatAutoConfig)
front50	KORK	front50	spinnaker.extensibility.repositories.front50.url -> front50.base-url -> services.front50.base-url (kork Front50PluginsConfiguration.pluginFront50Service, @ConditionalOnProperty spinnaker.extensibility.repositories.front50.enabled)
echo	echo-core/src/main/java/com/netflix/spinnaker/echo/services/Front50Service.java	front50	front50.base-url (Front50Config.front50Service)
echo	echo-core/src/main/java/com/netflix/spinnaker/echo/services/IgorService.java	igor	igor.base-url (IgorConfig.igorService)
echo	echo-pipelinetriggers/src/main/java/com/netflix/spinnaker/echo/pipelinetriggers/orca/OrcaService.java	orca	orca.base-url (PipelineTriggerConfiguration.orca)
echo	echo-artifacts/src/main/java/com/netflix/spinnaker/echo/services/KeelService.java	keel	keel.base-url (KeelConfig.keelService)
echo	FIATAPI	fiat	services.fiat.baseUrl (fiat-api FiatAuthenticationConfig via @EnableFiatAutoConfig)
echo	KORK	front50	spinnaker.extensibility.repositories.front50.url -> front50.base-url -> services.front50.base-url (kork Front50PluginsConfiguration.pluginFront50Service, @ConditionalOnProperty spinnaker.extensibility.repositories.front50.enabled)
igor	igor-core/src/main/java/com/netflix/spinnaker/igor/history/EchoService.java	echo	services.echo.baseUrl (EchoConfig.echoService)
igor	igor-core/src/main/java/com/netflix/spinnaker/igor/keel/KeelService.java	keel	keel.base-url (KeelConfig.keelService)
igor	igor-monitor-plugins/src/main/java/com/netflix/spinnaker/igor/plugins/front50/Front50Service.java	front50	services.front50.baseUrl (PluginMonitorConfig.pluginReleaseService)
igor	igor-web/src/main/groovy/com/netflix/spinnaker/igor/docker/service/ClouddriverService.groovy	clouddriver	services.clouddriver.baseUrl (DockerRegistryConfig.dockerRegistryProxyService)
igor	igor-web/src/main/java/com/netflix/spinnaker/igor/helm/accounts/HelmAccountsService.java	clouddriver	services.clouddriver.baseUrl (HelmConfig.helmAccountsService)
igor	FIATAPI	fiat	services.fiat.baseUrl (fiat-api FiatAuthenticationConfig via @EnableFiatAutoConfig)
igor	KORK	front50	spinnaker.extensibility.repositories.front50.url -> front50.base-url -> services.front50.base-url (kork Front50PluginsConfiguration.pluginFront50Service, @ConditionalOnProperty spinnaker.extensibility.repositories.front50.enabled)
fiat	fiat-roles/src/main/java/com/netflix/spinnaker/fiat/providers/internal/ClouddriverApi.java	clouddriver	services.clouddriver.base-url (ResourcesConfig.clouddriverApi)
fiat	fiat-roles/src/main/java/com/netflix/spinnaker/fiat/providers/internal/Front50Api.java	front50	services.front50.base-url (ResourcesConfig.front50Api)
fiat	fiat-roles/src/main/java/com/netflix/spinnaker/fiat/providers/internal/IgorApi.java	igor	services.igor.base-url (ResourcesConfig.igorApi)
fiat	KORK	front50	spinnaker.extensibility.repositories.front50.url -> front50.base-url -> services.front50.base-url (kork Front50PluginsConfiguration.pluginFront50Service, @ConditionalOnProperty spinnaker.extensibility.repositories.front50.enabled)
rosco	rosco-core/src/main/groovy/com/netflix/spinnaker/rosco/services/ClouddriverService.java	clouddriver	services.clouddriver.base-url (ServiceConfig.clouddriverService)
rosco	KORK	front50	spinnaker.extensibility.repositories.front50.url -> front50.base-url -> services.front50.base-url (kork Front50PluginsConfiguration.pluginFront50Service, @ConditionalOnProperty spinnaker.extensibility.repositories.front50.enabled)
kayenta	KORK	front50	spinnaker.extensibility.repositories.front50.url -> front50.base-url -> services.front50.base-url (kork Front50PluginsConfiguration.pluginFront50Service, @ConditionalOnProperty spinnaker.extensibility.repositories.front50.enabled)
keel	keel-clouddriver/src/main/kotlin/com/netflix/spinnaker/keel/clouddriver/CloudDriverService.kt	clouddriver	clouddriver.base-url (ClouddriverConfiguration.clouddriverEndpoint)
keel	keel-front50/src/main/kotlin/com/netflix/spinnaker/keel/front50/Front50Service.kt	front50	front50.base-url (Front50Config.front50Endpoint)
keel	keel-orca/src/main/kotlin/com/netflix/spinnaker/keel/orca/OrcaService.kt	orca	orca.base-url (OrcaConfiguration.orcaEndpoint)
keel	keel-echo/src/main/kotlin/com/netflix/spinnaker/keel/echo/EchoService.kt	echo	echo.base-url (EchoConfiguration.echoEndpoint)
keel	keel-igor/src/main/kotlin/com/netflix/spinnaker/keel/igor/BuildService.kt	igor	igor.base-url (IgorConfiguration.buildService)
keel	keel-igor/src/main/kotlin/com/netflix/spinnaker/keel/igor/ScmService.kt	igor	igor.base-url (IgorConfiguration.scmService)
keel	keel-igor/src/main/kotlin/com/netflix/spinnaker/keel/igor/artifact/ArtifactService.kt	igor	igor.base-url (IgorConfiguration.artifactService)
keel	FIATAPI	fiat	services.fiat.baseUrl (fiat-api FiatAuthenticationConfig via @EnableFiatAutoConfig)
keel	KORK	front50	spinnaker.extensibility.repositories.front50.url -> front50.base-url -> services.front50.base-url (kork Front50PluginsConfiguration.pluginFront50Service, @ConditionalOnProperty spinnaker.extensibility.repositories.front50.enabled)
