service	version	controller	method	path_template	path_params	query_params	header_params	body_type	return_type	response_codes	content_types	typing	claim
gate	v6.69.0	GremlinController.listCommandTemplates	POST	/integrations/gremlin/templates/command	-	-	-	Map	List	-	-	untyped-body	CLAIM-S2-R0001 source:spinnaker/gate@v6.69.0 gate-integrations-gremlin/src/main/java/com/netflix/spinnaker/gate/controllers/gremlin/GremlinController.java:29
gate	v6.69.0	GremlinController.listTargetTemplates	POST	/integrations/gremlin/templates/target	-	-	-	Map	List	-	-	untyped-body	CLAIM-S2-R0002 source:spinnaker/gate@v6.69.0 gate-integrations-gremlin/src/main/java/com/netflix/spinnaker/gate/controllers/gremlin/GremlinController.java:36
gate	v6.69.0	DeckPluginsController.getPluginManifest	GET	/plugins/deck/plugin-manifest.json	-	-	-	-	List<DeckPluginVersion>	-	-	typed	CLAIM-S2-R0003 source:spinnaker/gate@v6.69.0 gate-plugins/src/main/kotlin/com/netflix/spinnaker/gate/plugins/deck/DeckPluginsController.kt:41
gate	v6.69.0	DeckPluginsController.getPluginAsset	GET	/plugins/deck/{pluginId}/{pluginVersion}/{asset:.*}	pluginId,pluginVersion,asset	-	-	-	String	200	-	typed	CLAIM-S2-R0004 source:spinnaker/gate@v6.69.0 gate-plugins/src/main/kotlin/com/netflix/spinnaker/gate/plugins/deck/DeckPluginsController.kt:47
gate	v6.69.0	PluginInfoController.persistPluginInfo	POST	/plugins/info	-	-	-	SpinnakerPluginInfo	Map<String, Any>	202	consumes=application/json	untyped-return	CLAIM-S2-R0005 source:spinnaker/gate@v6.69.0 gate-plugins/src/main/kotlin/com/netflix/spinnaker/gate/plugins/web/info/PluginInfoController.kt:47
gate	v6.69.0	PluginInfoController.persistPluginInfo	PUT	/plugins/info	-	-	-	SpinnakerPluginInfo	Map<String, Any>	202	consumes=application/json	untyped-return	CLAIM-S2-R0006 source:spinnaker/gate@v6.69.0 gate-plugins/src/main/kotlin/com/netflix/spinnaker/gate/plugins/web/info/PluginInfoController.kt:47
gate	v6.69.0	PluginInfoController.deletePluginInfo	DELETE	/plugins/info/{id:.+}	id	-	-	-	Map<String, Any>	202	consumes=application/json	untyped-return	CLAIM-S2-R0007 source:spinnaker/gate@v6.69.0 gate-plugins/src/main/kotlin/com/netflix/spinnaker/gate/plugins/web/info/PluginInfoController.kt:58
gate	v6.69.0	PluginInfoController.getAllPluginInfo	GET	/plugins/info	-	service:optional	-	-	List<*>	-	-	untyped-return	CLAIM-S2-R0008 source:spinnaker/gate@v6.69.0 gate-plugins/src/main/kotlin/com/netflix/spinnaker/gate/plugins/web/info/PluginInfoController.kt:69
gate	v6.69.0	PluginsInstalledController.getInstalledPlugins	GET	/plugins/installed	-	service:optional	-	-	Map<String, List<SpinnakerPluginDescriptor>>	-	-	untyped-return	CLAIM-S2-R0009 source:spinnaker/gate@v6.69.0 gate-plugins/src/main/kotlin/com/netflix/spinnaker/gate/plugins/web/installed/PluginsInstalledController.kt:49
gate	v6.69.0	PluginPublishController.publishPlugin	POST	/plugins/publish/{pluginId}/{pluginVersion}	pluginId,pluginVersion	-	-	multipart:MultipartFile+multipart:SpinnakerPluginInfo	void	-	consumes=multipart/form-data	typed	CLAIM-S2-R0010 source:spinnaker/gate@v6.69.0 gate-plugins/src/main/kotlin/com/netflix/spinnaker/gate/plugins/web/publish/PluginPublishController.kt:60
