release	release_date	service	pinned_version	artifact_kind	artifact_ref	retrievable	jdk	claim
1.0.0	2017-06-05	gate	0.4.0-411	container-image	gcr.io/spinnaker-marketplace/gate:0.4.0-411@sha256:4477cb5b8508743b9327a55e6a6cab572df45e3c9406abd99cfe6eb965177f69	yes	8	CLAIM-S3-011
1.0.0	2017-06-05	orca	0.4.0-411	container-image	gcr.io/spinnaker-marketplace/orca:0.4.0-411@sha256:10237d6b258e1b806eeb5368ea8010915607d8436d9d45e350dec3c288722b1f	yes	8	CLAIM-S3-011
1.0.0	2017-06-05	clouddriver	0.4.1-411	container-image	gcr.io/spinnaker-marketplace/clouddriver:0.4.1-411@sha256:f66f610b7c9f165a4221842cea1cb6880bb591a0fb25e54de5fcadbbf6e6b368	yes	8	CLAIM-S3-011
1.0.0	2017-06-05	front50	0.4.0-411	container-image	gcr.io/spinnaker-marketplace/front50:0.4.0-411@sha256:161830d841b362424fd55adcb22f2d42bf7f358cbd2e231e0b616d6263da872b	yes	8	CLAIM-S3-011
1.0.0	2017-06-05	echo	0.3.0-411	container-image	gcr.io/spinnaker-marketplace/echo:0.3.0-411@sha256:759e71b5f7170e9eeddf2e20f55fe16fcfe2cdb1147b046e9fed6c0c98c57e9f	yes	8	CLAIM-S3-011
1.0.0	2017-06-05	igor	0.3.0-411	container-image	gcr.io/spinnaker-marketplace/igor:0.3.0-411@sha256:a54766ece950f829eab8287d659c8cc9fec402be566b6bab782d00984c7f33d1	yes	8	CLAIM-S3-011
1.0.0	2017-06-05	fiat	0.2.0-411	container-image	gcr.io/spinnaker-marketplace/fiat:0.2.0-411@sha256:34146e4ccc3222d9f4d72402a0f728386f8709e4cd8d22bfec734d89631018f6	yes	8	CLAIM-S3-011
1.0.0	2017-06-05	rosco	0.3.1-411	container-image	gcr.io/spinnaker-marketplace/rosco:0.3.1-411@sha256:5f53f8b68d232fe6a4bcc274522f42c26af0fb8e59d436a080bac83a99fcf546	yes	8	CLAIM-S3-011
1.0.0	2017-06-05	kayenta	-	not-pinned	-	n/a		CLAIM-S3-007
1.0.0	2017-06-05	keel	-	not-pinned	-	n/a		CLAIM-S3-006
1.0.1	2017-06-12	gate	0.4.0-33	container-image	gcr.io/spinnaker-marketplace/gate:0.4.0-33@sha256:cde6f206c4589afb9f27459b8cf024374ef8e8a5f3d61f5bdeb3110e635098ce	yes		CLAIM-S3-011
1.0.1	2017-06-12	orca	0.4.0-33	container-image	gcr.io/spinnaker-marketplace/orca:0.4.0-33@sha256:fd0ac84ce354a3b5f2d8d6d05001ece1771809afd666754bd94a60c676f82308	yes		CLAIM-S3-011
1.0.1	2017-06-12	clouddriver	0.4.2-33	container-image	gcr.io/spinnaker-marketplace/clouddriver:0.4.2-33@sha256:7b2366265a2dd33e327da8e381b8c79291a5b2df10f29896eeaadfdebdf38a4f	yes		CLAIM-S3-011
1.0.1	2017-06-12	front50	0.4.0-33	container-image	gcr.io/spinnaker-marketplace/front50:0.4.0-33@sha256:8f0229c88fda36ec196ef3e2ac2c9bcfd81903478182858e6af604b4fa5064f9	yes		CLAIM-S3-011
1.0.1	2017-06-12	echo	0.3.0-33	container-image	gcr.io/spinnaker-marketplace/echo:0.3.0-33@sha256:972e7b852e304b051a8340acf32dfdd24fcb8b6b005683d87d068e4d88dc8ec4	yes		CLAIM-S3-011
1.0.1	2017-06-12	igor	0.3.0-33	container-image	gcr.io/spinnaker-marketplace/igor:0.3.0-33@sha256:5f237dc2e4bfa1c592733d05983cdf7a5a255aa4d0ae949fb23ea518003f1a2c	yes		CLAIM-S3-011
1.0.1	2017-06-12	fiat	0.2.0-33	container-image	gcr.io/spinnaker-marketplace/fiat:0.2.0-33@sha256:fcb0f0256696cafff4a967c149f4cb980015d3f09d5d8410895d3e47f9a97d8e	yes		CLAIM-S3-011
1.0.1	2017-06-12	rosco	0.3.1-33	container-image	gcr.io/spinnaker-marketplace/rosco:0.3.1-33@sha256:b851d6a82cd76629c8bcdd31b94f95a0fef87955ae12cbef00def17a591aaab9	yes		CLAIM-S3-011
1.0.1	2017-06-12	kayenta	-	not-pinned	-	n/a		CLAIM-S3-007
1.0.1	2017-06-12	keel	-	not-pinned	-	n/a		CLAIM-S3-006
1.1.0	2017-07-05	gate	0.5.0-72	container-image	gcr.io/spinnaker-marketplace/gate:0.5.0-72@sha256:d9ca7b467a233419116a340758e1833955ef2025d613ed17f41a06be7abbe75c	yes	8	CLAIM-S3-011
1.1.0	2017-07-05	orca	0.5.0-72	container-image	gcr.io/spinnaker-marketplace/orca:0.5.0-72@sha256:8116a77968c1f173752bbe4ad20586b5573c179b1b9310c7610605db8e9b73c1	yes	8	CLAIM-S3-011
1.1.0	2017-07-05	clouddriver	0.5.0-72	container-image	gcr.io/spinnaker-marketplace/clouddriver:0.5.0-72@sha256:260908258099822deb5ce4751d753ed1a8d1b77d34d89e2de85dbcc0888d234a	yes	8	CLAIM-S3-011
1.1.0	2017-07-05	front50	0.4.1-72	container-image	gcr.io/spinnaker-marketplace/front50:0.4.1-72@sha256:caac38a1d2171656b4766b8d5b3ebb4652750f6677e93e5e0bc825e8facc4bc5	yes	8	CLAIM-S3-011
1.1.0	2017-07-05	echo	0.4.0-72	container-image	gcr.io/spinnaker-marketplace/echo:0.4.0-72@sha256:147a94228c390687f880306c7f67dda339ff5c2991b3366584806e1fbb88c36e	yes	8	CLAIM-S3-011
1.1.0	2017-07-05	igor	0.4.0-72	container-image	gcr.io/spinnaker-marketplace/igor:0.4.0-72@sha256:ba9898640767baa90ed36cc353e38b8a8c143860e3015ad511167225dc34418a	yes	8	CLAIM-S3-011
1.1.0	2017-07-05	fiat	0.3.0-72	container-image	gcr.io/spinnaker-marketplace/fiat:0.3.0-72@sha256:23950b0942045bbedbb0a4b5f8e39c91a0b69501201caed478044536c9049bf2	yes	8	CLAIM-S3-011
1.1.0	2017-07-05	rosco	0.4.0-72	container-image	gcr.io/spinnaker-marketplace/rosco:0.4.0-72@sha256:4f01f9d3ecdde27c73b8768754be431bcd49180a0ecbf657b36b23be1b838664	yes	8	CLAIM-S3-011
1.1.0	2017-07-05	kayenta	-	not-pinned	-	n/a		CLAIM-S3-007
1.1.0	2017-07-05	keel	-	not-pinned	-	n/a		CLAIM-S3-006
1.1.1	2017-07-21	gate	0.5.0-135	container-image	gcr.io/spinnaker-marketplace/gate:0.5.0-135@sha256:da91efead66b2e7384245907c99d21a667e8775b6a3f1c358f7ed08b5478d0e9	yes		CLAIM-S3-011
1.1.1	2017-07-21	orca	0.5.0-135	container-image	gcr.io/spinnaker-marketplace/orca:0.5.0-135@sha256:54e2f51fc2dab59de298ee8124034c40654d348420fd4b0fbf02455cfd4a5e7e	yes		CLAIM-S3-011
1.1.1	2017-07-21	clouddriver	0.5.0-135	container-image	gcr.io/spinnaker-marketplace/clouddriver:0.5.0-135@sha256:0fb4f837ef677589e9ee7db694b67ca3a338dd942e6caa161224abeb6424ab38	yes		CLAIM-S3-011
1.1.1	2017-07-21	front50	0.4.2-135	container-image	gcr.io/spinnaker-marketplace/front50:0.4.2-135@sha256:337b65e81db753222fba43ffb13f449fb518d5505fd50fdf5ae948e43d8b2067	yes		CLAIM-S3-011
1.1.1	2017-07-21	echo	0.4.0-135	container-image	gcr.io/spinnaker-marketplace/echo:0.4.0-135@sha256:3f983113fdcc0dba2203ba4a70d3cae01f66c77fb3f4791add8329c3567adade	yes		CLAIM-S3-011
