release	release_date	changelog_url	claim
1.25.8	2021-12-15	https://spinnaker.io/changelogs/1.25.8-changelog/	CLAIM-S4-002
1.26.7	2021-12-15	https://spinnaker.io/changelogs/1.26.7-changelog/	CLAIM-S4-002
1.27.0	2022-05-02	https://spinnaker.io/changelogs/1.27.0-changelog/	CLAIM-S4-002
1.27.1	2022-08-18	https://spinnaker.io/changelogs/1.27.1-changelog/	CLAIM-S4-002
1.28.0	2022-08-21	https://spinnaker.io/changelogs/1.28.0-changelog/	CLAIM-S4-002
1.28.1	2022-08-23	https://spinnaker.io/changelogs/1.28.1-changelog/	CLAIM-S4-002
1.29.0	2022-10-04	https://spinnaker.io/changelogs/1.29.0-changelog/	CLAIM-S4-002
1.27.2	2022-12-02	https://spinnaker.io/changelogs/1.27.2-changelog/	CLAIM-S4-002
1.28.2	2022-12-06	https://spinnaker.io/changelogs/1.28.2-changelog/	CLAIM-S4-002
1.28.3	2022-12-06	https://spinnaker.io/changelogs/1.28.3-changelog/	CLAIM-S4-002
1.29.1	2022-12-06	https://spinnaker.io/changelogs/1.29.1-changelog/	CLAIM-S4-002
1.27.3	2022-12-08	https://spinnaker.io/changelogs/1.27.3-changelog/	CLAIM-S4-002
1.28.4	2022-12-08	https://spinnaker.io/changelogs/1.28.4-changelog/	CLAIM-S4-002
1.29.2	2022-12-09	https://spinnaker.io/changelogs/1.29.2-changelog/	CLAIM-S4-002
1.27.4	2023-03-01	https://spinnaker.io/changelogs/1.27.4-changelog/	CLAIM-S4-002
1.28.5	2023-03-03	https://spinnaker.io/changelogs/1.28.5-changelog/	CLAIM-S4-002
1.29.3	2023-03-07	https://spinnaker.io/changelogs/1.29.3-changelog/	CLAIM-S4-002
1.27.5	2023-03-27	https://spinnaker.io/changelogs/1.27.5-changelog/	CLAIM-S4-002
1.28.6	2023-03-28	https://spinnaker.io/changelogs/1.28.6-changelog/	CLAIM-S4-002
1.29.4	2023-03-28	https://spinnaker.io/changelogs/1.29.4-changelog/	CLAIM-S4-002
1.30.0	2023-03-28	https://spinnaker.io/changelogs/1.30.0-changelog/	CLAIM-S4-002
1.30.1	2023-04-07	https://spinnaker.io/changelogs/1.30.1-changelog/	CLAIM-S4-002
1.27.6	2023-06-01	https://spinnaker.io/changelogs/1.27.6-changelog/	CLAIM-S4-002
1.28.7	2023-06-01	https://spinnaker.io/changelogs/1.28.7-changelog/	CLAIM-S4-002
1.29.5	2023-06-01	https://spinnaker.io/changelogs/1.29.5-changelog/	CLAIM-S4-002
1.30.2	2023-06-01	https://spinnaker.io/changelogs/1.30.2-changelog/	CLAIM-S4-002
1.31.0	2023-06-21	https://spinnaker.io/changelogs/1.31.0-changelog/	CLAIM-S4-002
1.29.6	2023-08-18	https://spinnaker.io/changelogs/1.29.6-changelog/	CLAIM-S4-002
1.30.3	2023-08-18	https://spinnaker.io/changelogs/1.30.3-changelog/	CLAIM-S4-002
1.31.1	2023-08-29	https://spinnaker.io/changelogs/1.31.1-changelog/	CLAIM-S4-002
1.29.7	2023-09-08	https://spinnaker.io/changelogs/1.29.7-changelog/	CLAIM-S4-002
1.30.4	2023-09-08	https://spinnaker.io/changelogs/1.30.4-changelog/	CLAIM-S4-002
1.31.2	2023-09-08	https://spinnaker.io/changelogs/1.31.2-changelog/	CLAIM-S4-002
1.32.0	2023-09-08	https://spinnaker.io/changelogs/1.32.0-changelog/	CLAIM-S4-002
1.32.1	2023-09-18	https://spinnaker.io/changelogs/1.32.1-changelog/	CLAIM-S4-002
1.32.2	2023-09-20	https://spinnaker.io/changelogs/1.32.2-changelog/	CLAIM-S4-002
1.30.5	2023-11-28	https://spinnaker.io/changelogs/1.30.5-changelog/	CLAIM-S4-002
