caller	provider	method	caller_path	norm_path	provider_path	provider_claim	candidates	caller_body	caller_return	provider_body	provider_return	s2_typing	untyped_as_written	untyped_refined	both_sides_untyped_as_written	edge_claim
gate	clouddriver	GET	/credentials	/credentials	/credentials	CLAIM-S2-R0433	1	-	Call<List<Account>>	-	List<Map<String, Object>>	untyped-return	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:28
gate	clouddriver	GET	/credentials?expand=true	/credentials	/credentials	CLAIM-S2-R0433	1	-	Call<List<AccountDetails>>	-	List<Map<String, Object>>	untyped-return	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:31
gate	clouddriver	GET	/credentials/{account}	/credentials/{}	/credentials/{accountName}	CLAIM-S2-R0434	1	-	Call<AccountDetails>	-	Map<String, Object>	untyped-return	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:34
gate	clouddriver	GET	/credentials/type/{type}	/credentials/type/{}	/credentials/type/{accountType}	CLAIM-S2-R0435	1	-	Call<List<AccountDefinition>>	-	List<? extends CredentialsDefinition>	polymorphic	0	0	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:37
gate	clouddriver	POST	/credentials	/credentials	/credentials	CLAIM-S2-R0436	1	AccountDefinition	Call<AccountDefinition>	CredentialsDefinition	CredentialsDefinition	polymorphic	0	0	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:43
gate	clouddriver	PUT	/credentials	/credentials	/credentials	CLAIM-S2-R0437	1	AccountDefinition	Call<AccountDefinition>	CredentialsDefinition	CredentialsDefinition	polymorphic	0	0	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:46
gate	clouddriver	DELETE	/credentials/{account}	/credentials/{}	/credentials/{accountName}	CLAIM-S2-R0439	1	-	Call<ResponseBody>	-	void	typed	0	0	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:49
gate	clouddriver	GET	/task/{taskDetailsId}	/task/{}	/task/{id}	CLAIM-S2-R0407	1	-	Call<Map>	-	Task	typed	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:52
gate	clouddriver	GET	/applications	/applications	/applications	CLAIM-S2-R0365	1	-	Call<List>	-	List<Application>	typed	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:56
gate	clouddriver	GET	/applications?restricted=false	/applications	/applications	CLAIM-S2-R0365	1	-	Call<List>	-	List<Application>	typed	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:60
gate	clouddriver	GET	/applications/{name}	/applications/{}	/applications/{name:.+}	CLAIM-S2-R0366	1	-	Call<Map>	-	ApplicationViewModel	typed	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:64
gate	clouddriver	GET	/applications/{name}/clusters	/applications/{}/clusters	/applications/{application}/clusters	CLAIM-S2-R0374	1	-	Call<Map>	-	Map<String, Set<String>>	untyped-return	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:68
gate	clouddriver	GET	/applications/{name}/clusters/{account}	/applications/{}/clusters/{}	/applications/{application}/clusters/{account:.+}	CLAIM-S2-R0375	1	-	Call<List>	-	Set<ClusterViewModel>	typed	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:72
gate	clouddriver	GET	/applications/{name}/clusters/{account}/{cluster}	/applications/{}/clusters/{}/{}	/applications/{application}/clusters/{account:.+}/{name:.+}	CLAIM-S2-R0376	1	-	Call<List>	-	Set<Cluster>	typed	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:76
