caller	provider	method	caller_path	normalized_path	category	interface	method_name	edge_claim
gate	clouddriver	GET	/applications/{application}/clusters/{account}/{cluster}/{provider}/serverGroups/{serverGroupName}/scalingActivities	/applications/{}/clusters/{}/{}/{}/serverGroups/{}/scalingActivities	no-provider-mapping	ClouddriverService	getScalingActivities	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:81
gate	clouddriver	POST	/applications/{name}/jobs/{account}/{region}/{jobName}	/applications/{}/jobs/{}/{}/{}	no-provider-mapping	ClouddriverService	getJobDetails	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:141
gate	clouddriver	GET	/applications/{name}/clusters/{account}/{cluster}/{type}/loadBalancers	/applications/{}/clusters/{}/{}/{}/loadBalancers	no-provider-mapping	ClouddriverService	getClusterLoadBalancers	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:159
gate	clouddriver	GET	/{provider}/images/{account}/{region}/{imageId}	/{}/images/{}/{}/{}	no-provider-mapping	ClouddriverService	getImageDetails	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:202
gate	clouddriver	GET	/{provider}/images/find	/{}/images/find	no-provider-mapping	ClouddriverService	findImages	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:223
gate	clouddriver	GET	/{provider}/images/tags	/{}/images/tags	no-provider-mapping	ClouddriverService	findTags	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:233
gate	clouddriver	GET	/installedPlugins	/installedPlugins	actuator	ClouddriverService	getInstalledPlugins	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:403
gate	echo	GET	/installedPlugins	/installedPlugins	actuator	EchoService	getInstalledPlugins	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/EchoService.java:55
gate	front50	GET	/credentials	/credentials	no-provider-mapping	Front50Service	getCredentials	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/Front50Service.java:34
gate	front50	POST	/pipelines/move	/pipelines/move	no-provider-mapping	Front50Service	movePipelineConfig	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/Front50Service.java:69
gate	front50	POST	/strategies/move	/strategies/move	no-provider-mapping	Front50Service	moveStrategyConfig	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/Front50Service.java:91
gate	front50	GET	/installedPlugins	/installedPlugins	actuator	Front50Service	getInstalledPlugins	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/Front50Service.java:161
gate	igor	GET	/installedPlugins	/installedPlugins	actuator	IgorService	getInstalledPlugins	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/IgorService.java:102
gate	keel	POST	/graphql	/graphql	no-provider-mapping	KeelService	graphql	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/KeelService.java:46
gate	keel	POST	/resources	/resources	no-provider-mapping	KeelService	upsertResource	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/KeelService.java:64
gate	keel	DELETE	/resources/{name}	/resources/{}	no-provider-mapping	KeelService	deleteResource	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/KeelService.java:70
gate	keel	GET	/delivery-configs/{name}/artifacts	/delivery-configs/{}/artifacts	no-provider-mapping	KeelService	getManifestArtifacts	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/KeelService.java:80
gate	keel	GET	/installedPlugins	/installedPlugins	actuator	KeelService	getInstalledPlugins	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/KeelService.java:192
gate	keel	GET	/reports/onboarding	/reports/onboarding	no-provider-mapping	KeelService	getOnboardingReport	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/KeelService.java:195
gate	keel	GET	/reports/adoption	/reports/adoption	no-provider-mapping	KeelService	getAdoptionReport	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/KeelService.java:199
gate	orca	GET	/installedPlugins	/installedPlugins	actuator	OrcaService	getInstalledPlugins	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/OrcaService.java:182
gate	rosco	GET	/installedPlugins	/installedPlugins	actuator	RoscoService	getInstalledPlugins	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/RoscoService.java:22
gate	fiat	GET	/installedPlugins	/installedPlugins	actuator	ExtendedFiatService	getInstalledPlugins	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ExtendedFiatService.java:31
gate	orca	GET	/health	/health	actuator	HealthCheckableService	health	gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/services/internal/HealthCheckableService.groovy:26
gate	clouddriver	GET	/health	/health	actuator	HealthCheckableService	health	gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/services/internal/HealthCheckableService.groovy:26
gate	echo	GET	/health	/health	actuator	HealthCheckableService	health	gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/services/internal/HealthCheckableService.groovy:26
gate	igor	GET	/health	/health	actuator	HealthCheckableService	health	gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/services/internal/HealthCheckableService.groovy:26
gate	front50	GET	/health	/health	actuator	HealthCheckableService	health	gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/services/internal/HealthCheckableService.groovy:26
gate	keel	GET	/health	/health	actuator	HealthCheckableService	health	gate@v6.69.0 gate-web/src/main/groovy/com/netflix/spinnaker/gate/services/internal/HealthCheckableService.groovy:26
orca	clouddriver	GET	/{type}/images/{account}/{region}/{imageId}	/{}/images/{}/{}/{}	no-provider-mapping	OortService	getByAmiId	orca@v8.64.0 orca-clouddriver/src/main/java/com/netflix/spinnaker/orca/clouddriver/OortService.java:155
orca	clouddriver	GET	/{cloudProvider}/images/find	/{}/images/find	no-provider-mapping	OortService	findImage	orca@v8.64.0 orca-clouddriver/src/main/java/com/netflix/spinnaker/orca/clouddriver/OortService.java:162
orca	front50	GET	/credentials	/credentials	no-provider-mapping	Front50Service	getCredentials	orca@v8.64.0 orca-front50/src/main/groovy/com/netflix/spinnaker/orca/front50/Front50Service.groovy:29
orca	echo	GET	/events/recent/{type}/{since}/	/events/recent/{}/{}	no-provider-mapping	EchoService	getEvents	orca@v8.64.0 orca-echo/src/main/groovy/com/netflix/spinnaker/orca/echo/EchoService.groovy:32
orca	igor	GET	/{repoType}/{projectKey}/{repositorySlug}/compareCommits	/{}/{}/{}/compareCommits	no-provider-mapping	IgorService	compareCommits	orca@v8.64.0 orca-igor/src/main/java/com/netflix/spinnaker/orca/igor/IgorService.java:89
clouddriver	front50	GET	/credentials	/credentials	no-provider-mapping	Front50Service	getCredentials	clouddriver@v5.95.0 clouddriver-core/src/main/groovy/com/netflix/spinnaker/clouddriver/core/services/Front50Service.groovy:32
echo	front50	POST	graphql	/graphql	no-provider-mapping	Front50Service	query	echo@v2.47.2 echo-core/src/main/java/com/netflix/spinnaker/echo/services/Front50Service.java:39
keel	igor	GET	/scm/repos/{scmType}/{projectKey}/{repoSlug}/branches/default	/scm/repos/{}/{}/{}/branches/default	no-provider-mapping	ScmService	getDefaultBranch	keel@v1.4.1 keel-igor/src/main/kotlin/com/netflix/spinnaker/keel/igor/ScmService.kt:56
keel	igor	POST	/scm/repos/{scmType}/{projectKey}/{repoSlug}/pull-requests/{pullRequestId}/comments	/scm/repos/{}/{}/{}/pull-requests/{}/comments	no-provider-mapping	ScmService	commentOnPullRequest	keel@v1.4.1 keel-igor/src/main/kotlin/com/netflix/spinnaker/keel/igor/ScmService.kt:63
keel	igor	POST	/scm/build-results/{scmType}/{commitHash}	/scm/build-results/{}/{}	no-provider-mapping	ScmService	postBuildResultToCommit	keel@v1.4.1 keel-igor/src/main/kotlin/com/netflix/spinnaker/keel/igor/ScmService.kt:72
